model,fold,n,log_loss,brier
rf,39,10,1.160491251275517,0.707797096263083
rf,40,10,1.0164489730343818,0.6020771722482541
rf,41,10,0.8743469723809971,0.5085967143948381
rf,42,10,1.1312482058749282,0.676253704782248
rf,43,10,1.0387961737220344,0.6389735054000457
rf,44,10,0.8747789133933365,0.510142645904102
rf,45,10,0.9794029383708784,0.5771959778998313
rf,46,10,0.9084040265899713,0.5329805751903043
rf,47,10,0.9008069084179715,0.5184900937461177
rf,48,10,0.9616217915852496,0.5667641988026462
rf,49,10,1.0057675727769833,0.5950389303905729
rf,50,10,0.8996616697336852,0.5363431095463357
rf,51,10,1.1715214929059448,0.7104506437871634
rf,52,10,0.950635268691362,0.5690810922693532
rf,53,10,0.8398020326857114,0.48284224197946113
rf,54,10,0.9694515881428677,0.581573773505977
rf,55,10,0.9696780618179002,0.5763279388538168
rf,56,10,1.2790164612887513,0.8138119117909515
rf,57,10,1.0312767268300647,0.618785724337915
rf,58,10,1.090646204625234,0.6996264931191779
rf,59,10,1.4230421069065065,0.8904824439226451
rf,60,10,1.276296108481027,0.7806513402642826
rf,61,10,0.8630106190675855,0.4981813000572621
rf,62,10,0.9806372175047974,0.5783012650415101
rf,63,10,1.1689496806915183,0.7184700415829778
rf,64,10,1.113727468427228,0.6866616506061122
rf,65,10,0.9218145732011992,0.5326460058765774
rf,66,10,1.2827014686480374,0.7935070581934832
rf,67,10,1.1997318570117865,0.7564290437219545
rf,68,10,1.0797074313020274,0.650993218158163
rf,69,10,1.1179606665649764,0.6657797151846306
rf,70,10,0.972322092581751,0.5853130680571295
rf,71,10,0.8699059043024148,0.5085894911068148
rf,72,10,1.1892100147817106,0.726423468634902
rf,73,10,1.0056013218208641,0.6005460223041914
rf,74,10,0.8789484667311941,0.5127972639400216
rf,75,10,1.2301713417139237,0.7585170574869788
rf,overall,760,1.0324195711709383,0.6189054452193523
rf_tuned,0,10,0.9754804814342709,0.5819528358347918
rf_tuned,1,10,0.876623103541853,0.5088561273305434
rf_tuned,2,10,1.1102045458362442,0.6685213265286636
rf_tuned,3,10,1.0177339219445483,0.6021950047204819
rf_tuned,4,10,1.0531070699955702,0.623321253059034
rf_tuned,5,10,0.9890679136234128,0.591806596149925
rf_tuned,6,10,0.9485895032741205,0.5744379586474022
rf_tuned,7,10,0.9656261871668219,0.5740210577828512
rf_tuned,8,10,1.0219629966371322,0.6269023580982138
rf_tuned,9,10,1.0966065619739718,0.6619011388398643
rf_tuned,10,10,1.1440646635567426,0.6821289847117837
rf_tuned,11,10,1.2011271018181118,0.7376125329706047
rf_tuned,12,10,0.9405924660886414,0.5609499045835298
rf_tuned,13,10,0.8401324177870348,0.48182182758493264
rf_tuned,14,10,1.028117629857391,0.6121582373026502
rf_tuned,15,10,1.2016402324211615,0.7510290913925048
rf_tuned,16,10,1.206204112505999,0.7551427512254542
rf_tuned,17,10,0.9561116541594163,0.5640726575938559
rf_tuned,18,10,1.031102086653955,0.623880808689531
rf_tuned,19,10,1.0477259063421918,0.6379119315629149
rf_tuned,20,10,0.9665521382527882,0.5618500483116514
rf_tuned,21,10,0.8587428699987372,0.4988235320617096
rf_tuned,22,10,1.054421242463296,0.6164219125180339
rf_tuned,23,10,1.1796579038577546,0.723367740703153
rf_tuned,24,10,0.7930083970630434,0.46071724675081427
rf_tuned,25,10,1.2687858131106158,0.7629930239644238
rf_tuned,26,10,0.866762492154024,0.4963645922656633
rf_tuned,27,10,0.9071886237611304,0.5283514200729509
